"image","xmin","ymin","xmax","ymax","label"
"Laabher_Bazar_07-08-2019_1126_0001.jpg",103.57158734309624,378.87738853503186,199.06531119246864,431.5907643312102,"vim_bn"
"Laabher_Bazar_07-08-2019_1126_0001.jpg",123.32890951882845,523.8391719745223,231.99418148535565,569.9633757961783,"rin_bn"
"Laabher_Bazar_07-08-2019_1126_0001.jpg",123.32890951882845,734.6926751592357,212.2368593096234,780.8168789808917,"vim_bn"
"Laabher_Bazar_07-08-2019_1126_0003.jpg",123.99437761506276,377.59554140127386,242.3876830543933,439.9808917197452,"vim_bn"
"Laabher_Bazar_07-08-2019_1126_0003.jpg",133.86048640167365,505.6496815286624,288.4295240585774,584.4522292993631,"rin_bn"
"Laabher_Bazar_07-08-2019_1126_0004.jpg",567.2215189873418,1624.6783439490446,706.1582278481013,1694.1656050955414,"rin_bn"
"Laabher_Bazar_07-08-2019_1126_0004.jpg",587.0696202531645,1485.7038216560509,719.3902953586498,1565.1178343949043,"vim_bn"
"Laabher_Bazar_07-08-2019_1126_0005.jpg",81.18828451882845,1067.2866242038217,209.1213389121339,1152.407643312102,"vim_bn"
"Laabher_Bazar_07-08-2019_1126_0006.jpg",499.85410156250003,1538.1401273885351,720.1166015625,1626.87898089172,"rin_bn"
"Laabher_Bazar_07-08-2019_1126_0007.jpg",83.87167008196722,960.9936305732484,261.7200307377049,1074.2420382165606,"rin_bn"
"Laabher_Bazar_07-08-2019_1126_0007.jpg",96.80609631147541,469.171974522293,209.98232581967216,559.7707006369427,"lux_bn"
"Laabher_Bazar_07-08-2019_1126_0007.jpg",77.40445696721312,728.0254777070064,193.8142930327869,815.3885350318471,"vim_bn"
"Laabher_Bazar_07-08-2019_1126_0009.jpg",110.10416666666667,893.1910828025478,320.1041666666667,1013.1719745222931,"rin_bn"
"Laabher_Bazar_07-08-2019_1126_0009.jpg",90.10416666666667,793.2070063694268,290.1041666666667,883.1926751592357,"lux_bn"
"Laabher_Bazar_07-08-2019_1126_0010.jpg",575.6701608649789,1522.7770700636943,738.3832410337553,1575.9745222929937,"vim_bn"
"Laabher_Bazar_07-08-2019_1126_0010.jpg",602.2355617088608,1113.8216560509554,738.3832410337553,1203.592356687898,"rin_bn"
"Laabher_Bazar_07-08-2019_1126_0010.jpg",592.273536392405,1632.4968152866243,725.1005406118143,1698.9936305732485,"lux_bn"
"Laabher_Bazar_07-08-2019_1126_0012.jpg",527.5044070512821,1431.3296178343949,682.2138087606838,1522.2611464968152,"vim_bn"
